timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684620518286,1,Home,200,OK,Thread Group 1-20,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1684620518286,1,Home-0,302,Found,Thread Group 1-20,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1684620518287,0,Home-1,200,OK,Thread Group 1-20,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,0,0,0
1684620518345,3,Login,200,OK,Thread Group 1-3,text,true,,5262,1505,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684620518345,2,Login-0,302,Found,Thread Group 1-3,,true,,193,880,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1684620518347,1,Login-1,200,OK,Thread Group 1-3,text,true,,5069,625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620518526,1,Sign In,200,OK,Thread Group 1-13,text,true,,3923,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1684620518562,2,Dogs,200,OK,Thread Group 1-25,text,true,,4090,248,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,2,0,0
1684620518574,1,Main Catalog,200,OK,Thread Group 1-17,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620518607,3,Login,200,OK,Thread Group 1-4,text,true,,5262,1505,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684620518607,2,Login-0,302,Found,Thread Group 1-4,,true,,193,880,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1684620518609,1,Login-1,200,OK,Thread Group 1-4,text,true,,5069,625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620518724,1,Home,200,OK,Thread Group 1-21,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,0,0,0
1684620518724,0,Home-0,302,Found,Thread Group 1-21,,true,,146,195,25,25,http://localhost:8080/jpetstore,0,0,0
1684620518724,1,Home-1,200,OK,Thread Group 1-21,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1684620518724,1,Main Catalog,200,OK,Thread Group 1-18,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620518933,2,Reptiles,200,OK,Thread Group 1-1,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,2,0,0
1684620518939,1,Sign In,200,OK,Thread Group 1-14,text,true,,3923,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1684620518999,3,Login,200,OK,Thread Group 1-5,text,true,,5262,1505,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684620518999,2,Login-0,302,Found,Thread Group 1-5,,true,,193,880,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1684620519001,1,Login-1,200,OK,Thread Group 1-5,text,true,,5069,625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620519073,1,Home,200,OK,Thread Group 1-22,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,0,0,0
1684620519073,0,Home-0,302,Found,Thread Group 1-22,,true,,146,195,25,25,http://localhost:8080/jpetstore,0,0,0
1684620519073,1,Home-1,200,OK,Thread Group 1-22,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1684620519199,1,Sign In,200,OK,Thread Group 1-15,text,true,,3923,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1684620519279,2,Login,200,OK,Thread Group 1-6,text,true,,5262,1505,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684620519279,2,Login-0,302,Found,Thread Group 1-6,,true,,193,880,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1684620519281,0,Login-1,200,OK,Thread Group 1-6,text,true,,5069,625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
